,interaction,type,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
69,SchoolConnect_x_ParentalWarmth,test_metrics,logistic_regression,AST,0.5381056732408084,0.0851063829787234,0.5789473684210527,0.148397976391231,0.16767676767676767,0.32806324110671936,0.2219251336898396,0.1368653421633554,0.21678321678321677,0.16779431664411365,0.9026548672566371,0.5983328187712257,0.7196435202376531,0.3230758400188709,0.43053166127055364,0.3144402367407093,0.7436462460320903,0.5381056732408084,0.6093223521944892
70,SchoolConnect_x_Is_Male,train_metrics,logistic_regression,AST,0.4542104044458166,0.48362871733253227,0.6213337449830194,0.5439005439005439,0.35548911376878256,0.3579036739734486,0.35669230769230764,0.3844856661045531,0.2287743130595863,0.28686184369707235,0.5467905171218633,0.6088298857672121,0.5761449127163831,0.44259850358193276,0.4542104044458166,0.44089990200157675,0.4425985035819328,0.4542104044458166,0.4408999020015768
71,SchoolConnect_x_Is_Male,test_metrics,logistic_regression,AST,0.5402970538105674,0.08704061895551257,0.5921052631578947,0.15177065767284992,0.16872427983539096,0.3241106719367589,0.2219215155615697,0.1400862068965517,0.22727272727272727,0.1733333333333333,0.9029712163416899,0.6004939796233405,0.7213053958835528,0.32470558050728626,0.43599566049768035,0.31708272561282647,0.7442848788752068,0.5402970538105674,0.6110806835786344
72,SchoolConnect_x_Race_1.0,train_metrics,logistic_regression,AST,0.45496295152824945,0.48012614542425325,0.6228002469898116,0.5422350648477925,0.3573743311477881,0.36600802716887926,0.3616396568160152,0.3883649887103201,0.22568694041370793,0.2854771784232365,0.5515471167369902,0.605356591540599,0.5772004710038269,0.44435314550483784,0.45496295152824945,0.4416380927727178,0.44435314550483795,0.45496295152824945,0.4416380927727177
73,SchoolConnect_x_Race_1.0,test_metrics,logistic_regression,AST,0.5381056732408084,0.08897485493230174,0.6052631578947368,0.15514333895446883,0.16849451645064806,0.3339920948616601,0.22398939695162362,0.14380530973451328,0.22727272727272727,0.1761517615176152,0.9039812646370023,0.595862920654523,0.7182731671008561,0.32631398643861637,0.4405977251709118,0.3183894161311409,0.7453479301295847,0.5381056732408084,0.6092027564284811
74,SchoolConnect_x_Race_2.0,train_metrics,logistic_regression,AST,0.4541911083667799,0.4827420901246405,0.6217968508799012,0.543516394548644,0.35731201894612197,0.3726458783575178,0.3648178933051231,0.3795084157093241,0.21928064217351034,0.2779571470501908,0.552624133540812,0.6030410620561902,0.5767328559828745,0.4430466645802246,0.4541911083667799,0.44075607272170814,0.4430466645802246,0.4541911083667799,0.4407560727217081
75,SchoolConnect_x_Race_2.0,test_metrics,logistic_regression,AST,0.5359142926710494,0.08778625954198473,0.6052631578947368,0.15333333333333335,0.16781836130306022,0.3359683794466403,0.2238314680710994,0.14382022471910114,0.22377622377622378,0.17510259917920656,0.904,0.5930842852732324,0.7162565249813571,0.3258562113910365,0.43952301159770835,0.31713098139124907,0.7452584443180429,0.5359142926710494,0.6074863121395613
76,SchoolConnect_x_Race_3.0,train_metrics,logistic_regression,AST,0.4552716887928373,0.4849975996159385,0.6238036430997221,0.5457123565158677,0.35403726708074534,0.36515899969126275,0.35951213951897865,0.38981924508240295,0.22638159925903056,0.28642578125,0.5498493659356828,0.6057425131213338,0.5764442322523781,0.4446758694286924,0.4552716887928373,0.4420236273843061,0.4446758694286924,0.4552716887928373,0.44202362738430606
77,SchoolConnect_x_Race_3.0,test_metrics,logistic_regression,AST,0.5383491599707816,0.08349514563106795,0.5657894736842105,0.1455160744500846,0.1661631419939577,0.32608695652173914,0.2201467645096731,0.141280353200883,0.22377622377622378,0.17320703653585925,0.9035414725069898,0.5986415560358135,0.7201485608170844,0.3236200283332246,0.4285735525044967,0.3147546090781753,0.7444366183059402,0.5383491599707816,0.6098251486330395
78,SchoolConnect_x_Race_4.0,train_metrics,logistic_regression,AST,0.4540174436554492,0.48184164715769257,0.6195585057116394,0.5420901570150262,0.35518554468752334,0.36716579191108367,0.3610763216820373,0.3856078744346901,0.22375733251003396,0.2831884341115561,0.5504419811982602,0.6055881444890399,0.576699742741639,0.4432692618695415,0.4540174436554492,0.4407636638875646,0.4432692618695415,0.4540174436554492,0.44076366388756466
79,SchoolConnect_x_Race_4.0,test_metrics,logistic_regression,AST,0.5383491599707816,0.0851063829787234,0.5789473684210527,0.148397976391231,0.16734279918864098,0.32608695652173914,0.22117962466487937,0.14161220043572983,0.22727272727272727,0.17449664429530198,0.9030303030303031,0.5980240815066379,0.7195393759286776,0.3242729214083493,0.43258278343053924,0.3159034053200225,0.7442317463685428,0.5383491599707816,0.6096150998752388
80,SchoolConnect_x_Race_5.0,train_metrics,logistic_regression,AST,0.45426829268292684,0.4823268631679847,0.6214109292991664,0.5431057744198596,0.35487731897067626,0.3661623958011732,0.3604315453578483,0.38567419484164106,0.2227539364001235,0.28240129164831945,0.5504516490441845,0.6067459092312442,0.5772295039835518,0.44333250650612166,0.4542682926829268,0.44079202885239477,0.4433325065061216,0.45426829268292684,0.44079202885239477
